Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
54533;66243;"ORANGE service fixe";"Antenne parabolique";2947559;0.60;"Directif";252.70;14.00;"FH";18.60;18.80;"GHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"LTE 800";811.00;821.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"LTE 800";852.00;862.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"GSM 900";894.10;899.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"GSM 900";939.10;944.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"LTE 1800";1775.00;1785.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"LTE 1800";1870.00;1880.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"UMTS 2100";1964.90;1979.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82713;1.80;"Directif";40.00;23.00;"UMTS 2100";2154.90;2169.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"LTE 800";811.00;821.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"LTE 800";852.00;862.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"GSM 900";894.10;899.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"GSM 900";939.10;944.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"LTE 1800";1775.00;1785.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"LTE 1800";1870.00;1880.00;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"UMTS 2100";1964.90;1979.70;"MHz"
56886;307200;"DIGICEL";"Panneau";82715;1.80;"Directif";120.00;23.00;"UMTS 2100";2154.90;2169.70;"MHz"
56886;307200;"DIGICEL";"Antenne parabolique";82717;0.30;"Directif";73.00;20.00;"FH";12.80;13.20;"GHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"LTE 800";811.00;821.00;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"LTE 800";852.00;862.00;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"GSM 900";894.10;899.70;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"GSM 900";939.10;944.70;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"LTE 1800";1775.00;1785.00;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"LTE 1800";1870.00;1880.00;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"UMTS 2100";1964.90;1979.70;"MHz"
56886;307200;"DIGICEL";"Panneau";2003422;1.80;"Directif";270.00;23.00;"UMTS 2100";2154.90;2169.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"LTE 800";811.00;821.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"LTE 800";852.00;862.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"GSM 900";894.10;899.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"GSM 900";939.10;944.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"LTE 1800";1775.00;1785.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"LTE 1800";1870.00;1880.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"UMTS 2100";1964.90;1979.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210481;2.60;"Directif";110.00;10.00;"UMTS 2100";2154.90;2169.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"LTE 800";811.00;821.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"LTE 800";852.00;862.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"GSM 900";894.10;899.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"GSM 900";939.10;944.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"LTE 1800";1775.00;1785.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"LTE 1800";1870.00;1880.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"UMTS 2100";1964.90;1979.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210482;2.60;"Directif";230.00;10.00;"UMTS 2100";2154.90;2169.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"LTE 800";811.00;821.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"LTE 800";852.00;862.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"GSM 900";894.10;899.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"GSM 900";939.10;944.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"LTE 1800";1775.00;1785.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"LTE 1800";1870.00;1880.00;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"UMTS 2100";1964.90;1979.70;"MHz"
118390;205522;"DIGICEL";"Panneau";210483;2.60;"Directif";350.00;10.00;"UMTS 2100";2154.90;2169.70;"MHz"
118390;205522;"DIGICEL";"Antenne parabolique";210484;0.30;"Directif";204.00;8.00;"FH";18.10;18.40;"GHz"
327103;418834;"UTS Caraibes";"Panneau";709828;2.60;"Directif";0.00;18.00;"GSM 900";890.00;915.00;"MHz"
327103;418834;"UTS Caraibes";"Panneau";709828;2.60;"Directif";0.00;18.00;"GSM 900";935.00;960.00;"MHz"
327103;418834;"UTS Caraibes";"Panneau";709830;2.60;"Directif";100.00;43.00;"GSM 900";890.00;915.00;"MHz"
327103;418834;"UTS Caraibes";"Panneau";709830;2.60;"Directif";100.00;43.00;"GSM 900";935.00;960.00;"MHz"
327103;418834;"UTS Caraibes";"Panneau";709832;2.60;"Directif";260.00;43.00;"GSM 900";890.00;915.00;"MHz"
327103;418834;"UTS Caraibes";"Panneau";709832;2.60;"Directif";260.00;43.00;"GSM 900";935.00;960.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049666;0.90;"Directif";296.00;23.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049666;0.90;"Directif";296.00;23.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049668;0.90;"Directif";133.00;18.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049668;0.90;"Directif";133.00;18.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049670;0.90;"Directif";319.00;32.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049670;0.90;"Directif";319.00;32.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049672;0.90;"Directif";259.00;18.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049672;0.90;"Directif";259.00;18.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049674;0.90;"Directif";286.00;44.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049674;0.90;"Directif";286.00;44.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049676;0.90;"Directif";100.00;13.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049676;0.90;"Directif";100.00;13.00;"FH";8400.00;8500.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049680;1.20;"Directif";177.40;21.00;"FH";8215.00;8400.00;"MHz"
327103;418834;"UTS Caraibes";"Antenne parabolique";4049680;1.20;"Directif";177.40;21.00;"FH";8400.00;8500.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709834;1.30;"Directif";0.00;10.00;"GSM 900";890.00;915.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709834;1.30;"Directif";0.00;10.00;"GSM 900";935.00;960.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709836;1.30;"Directif";70.00;10.00;"GSM 900";890.00;915.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709836;1.30;"Directif";70.00;10.00;"GSM 900";935.00;960.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709838;1.30;"Directif";205.00;10.00;"GSM 900";890.00;915.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";709838;1.30;"Directif";205.00;10.00;"GSM 900";935.00;960.00;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937036;1.30;"Directif";0.00;15.00;"UMTS 2100";1945.10;1950.10;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937036;1.30;"Directif";0.00;15.00;"UMTS 2100";2135.10;2140.10;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937038;1.30;"Directif";70.00;15.00;"UMTS 2100";1945.10;1950.10;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937038;1.30;"Directif";70.00;15.00;"UMTS 2100";2135.10;2140.10;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937040;1.30;"Directif";205.00;15.00;"UMTS 2100";1945.10;1950.10;"MHz"
327147;418841;"UTS Caraibes";"Panneau";1937040;1.30;"Directif";205.00;15.00;"UMTS 2100";2135.10;2140.10;"MHz"
327147;418841;"UTS Caraibes";"Antenne parabolique";4052117;0.90;"Directif";76.00;10.00;"FH";8215.00;8400.00;"MHz"
327147;418841;"UTS Caraibes";"Antenne parabolique";4052117;0.90;"Directif";76.00;10.00;"FH";8400.00;8500.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709852;2.60;"Directif";325.00;27.00;"GSM 900";890.00;915.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709852;2.60;"Directif";325.00;27.00;"GSM 900";935.00;960.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709854;2.60;"Directif";89.00;27.00;"GSM 900";890.00;915.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709854;2.60;"Directif";89.00;27.00;"GSM 900";935.00;960.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709856;2.60;"Directif";214.00;27.00;"GSM 900";890.00;915.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";709856;2.60;"Directif";214.00;27.00;"GSM 900";935.00;960.00;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944889;1.30;"Directif";85.00;30.00;"UMTS 2100";1945.10;1950.10;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944889;1.30;"Directif";85.00;30.00;"UMTS 2100";2135.10;2140.10;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944891;1.30;"Directif";200.00;30.00;"UMTS 2100";1945.10;1950.10;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944891;1.30;"Directif";200.00;30.00;"UMTS 2100";2135.10;2140.10;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944893;1.30;"Directif";345.00;15.00;"UMTS 2100";1945.10;1950.10;"MHz"
327153;418845;"UTS Caraibes";"Panneau";1944893;1.30;"Directif";345.00;15.00;"UMTS 2100";2135.10;2140.10;"MHz"
327153;418845;"UTS Caraibes";"Antenne parabolique";4052091;0.90;"Directif";109.00;23.00;"FH";8215.00;8400.00;"MHz"
327153;418845;"UTS Caraibes";"Antenne parabolique";4052091;0.90;"Directif";109.00;23.00;"FH";8400.00;8500.00;"MHz"
